event_id,calculated_risk_score_ai,final_decision,decision_reason
EVT_00067,5.0,ALLOW,Low AI risk (5/100). Request matches baseline behaviour.
EVT_00068,0.2,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00069,14.0,CHALLENGE,Low AI risk (14/100) overridden by policy: access from public internet requires step-up MFA.
EVT_00070,0.2,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00071,3.6,ALLOW,Low AI risk (4/100). Request matches baseline behaviour.
EVT_00072,1.7,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00073,1.6,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00074,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00075,0.2,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00076,2.3,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00077,5.6,ALLOW,Low AI risk (6/100). Request matches baseline behaviour.
EVT_00078,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00079,1.9,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00080,9.1,ALLOW,Low AI risk (9/100). Request matches baseline behaviour.
EVT_00081,3.6,ALLOW,Low AI risk (4/100). Request matches baseline behaviour.
EVT_00082,5.1,ALLOW,Low AI risk (5/100). Request matches baseline behaviour.
EVT_00083,3.1,ALLOW,Low AI risk (3/100). Request matches baseline behaviour.
EVT_00084,0.2,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00085,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00086,0.2,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00087,0.2,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00088,3.6,ALLOW,Low AI risk (4/100). Request matches baseline behaviour.
EVT_00089,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00090,0.7,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00091,5.5,ALLOW,Low AI risk (6/100). Request matches baseline behaviour.
EVT_00092,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00093,2.3,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00094,23.8,ALLOW,Low AI risk (24/100). Request matches baseline behaviour.
EVT_00095,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00096,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00097,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00098,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00099,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00100,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00101,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00102,82.1,BLOCK,Critical AI risk (82/100). High probability of active compromise.
EVT_00103,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00104,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00105,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00106,99.8,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00107,0.6,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00108,85.1,BLOCK,Critical AI risk (85/100). High probability of active compromise.
EVT_00109,1.7,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00110,5.1,ALLOW,Low AI risk (5/100). Request matches baseline behaviour.
EVT_00111,6.2,ALLOW,Low AI risk (6/100). Request matches baseline behaviour.
EVT_00112,1.7,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00113,99.8,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00114,1.2,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00115,0.6,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00116,6.1,ALLOW,Low AI risk (6/100). Request matches baseline behaviour.
EVT_00117,99.8,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00118,16.2,ALLOW,Low AI risk (16/100). Request matches baseline behaviour.
EVT_00119,90.9,BLOCK,Critical AI risk (91/100). High probability of active compromise.
EVT_00120,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00121,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00122,90.9,BLOCK,Critical AI risk (91/100). High probability of active compromise.
EVT_00123,11.1,ALLOW,Low AI risk (11/100). Request matches baseline behaviour.
EVT_00124,1.3,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00125,1.0,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00126,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00127,2.6,ALLOW,Low AI risk (3/100). Request matches baseline behaviour.
EVT_00128,0.2,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00129,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00130,3.3,ALLOW,Low AI risk (3/100). Request matches baseline behaviour.
EVT_00131,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00132,5.5,ALLOW,Low AI risk (6/100). Request matches baseline behaviour.
EVT_00133,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00134,1.0,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00135,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00136,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00137,2.0,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00138,8.5,ALLOW,Low AI risk (8/100). Request matches baseline behaviour.
EVT_00139,71.9,CHALLENGE,Medium AI risk (72/100). Context: behavioural deviation from baseline. Step-up MFA required.
EVT_00140,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00141,3.7,ALLOW,Low AI risk (4/100). Request matches baseline behaviour.
EVT_00142,0.7,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00143,2.6,ALLOW,Low AI risk (3/100). Request matches baseline behaviour.
EVT_00144,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00145,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00146,0.8,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00147,4.3,ALLOW,Low AI risk (4/100). Request matches baseline behaviour.
EVT_00148,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00149,1.3,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00150,1.7,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00151,1.0,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00152,1.3,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00153,1.5,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00154,1.7,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00155,0.7,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00156,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00157,99.4,BLOCK,Critical AI risk (99/100). High probability of active compromise.
EVT_00158,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00159,13.8,ALLOW,Low AI risk (14/100). Request matches baseline behaviour.
EVT_00160,2.0,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00161,1.8,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00162,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00163,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00164,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00165,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00166,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00167,78.8,BLOCK,Critical AI risk (79/100). High probability of active compromise.
EVT_00168,5.9,ALLOW,Low AI risk (6/100). Request matches baseline behaviour.
EVT_00169,1.3,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00170,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00171,90.9,BLOCK,Critical AI risk (91/100). High probability of active compromise.
EVT_00172,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00173,4.3,ALLOW,Low AI risk (4/100). Request matches baseline behaviour.
EVT_00174,92.1,BLOCK,Critical AI risk (92/100). High probability of active compromise.
EVT_00175,1.4,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00176,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00177,1.6,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00178,4.9,ALLOW,Low AI risk (5/100). Request matches baseline behaviour.
EVT_00179,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00180,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00181,0.9,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00182,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00183,5.1,ALLOW,Low AI risk (5/100). Request matches baseline behaviour.
EVT_00184,0.7,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00185,0.6,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00186,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00187,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00188,1.6,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00189,38.0,ALLOW,Low AI risk (38/100). Request matches baseline behaviour.
EVT_00190,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00191,0.7,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00192,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00193,0.6,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00194,0.7,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00195,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00196,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00197,0.6,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00198,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00199,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00200,2.7,ALLOW,Low AI risk (3/100). Request matches baseline behaviour.
EVT_00201,98.0,BLOCK,Critical AI risk (98/100). High probability of active compromise.
EVT_00202,2.4,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00203,0.8,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00204,1.1,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00205,25.7,ALLOW,Low AI risk (26/100). Request matches baseline behaviour.
EVT_00206,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00207,3.6,ALLOW,Low AI risk (4/100). Request matches baseline behaviour.
EVT_00208,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00209,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00210,19.5,ALLOW,Low AI risk (20/100). Request matches baseline behaviour.
EVT_00211,0.7,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00212,0.6,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00213,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00214,1.8,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00215,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00216,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00217,12.7,ALLOW,Low AI risk (13/100). Request matches baseline behaviour.
EVT_00218,98.2,BLOCK,Critical AI risk (98/100). High probability of active compromise.
EVT_00219,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00220,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00221,1.2,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00222,0.7,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00223,0.7,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00224,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00225,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00226,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00227,2.8,ALLOW,Low AI risk (3/100). Request matches baseline behaviour.
EVT_00228,2.6,ALLOW,Low AI risk (3/100). Request matches baseline behaviour.
EVT_00229,0.9,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00230,0.7,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00231,2.0,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00232,86.4,BLOCK,Critical AI risk (86/100). High probability of active compromise.
EVT_00233,1.7,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00234,10.1,ALLOW,Low AI risk (10/100). Request matches baseline behaviour.
EVT_00235,1.0,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00236,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00237,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00238,2.3,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00239,1.0,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00240,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00241,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00242,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00243,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00244,0.6,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00245,1.3,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00246,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00247,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00248,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00249,2.7,ALLOW,Low AI risk (3/100). Request matches baseline behaviour.
EVT_00250,3.2,ALLOW,Low AI risk (3/100). Request matches baseline behaviour.
EVT_00251,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00252,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00253,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00254,0.9,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00255,1.4,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00256,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00257,6.0,ALLOW,Low AI risk (6/100). Request matches baseline behaviour.
EVT_00258,0.7,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00259,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00260,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00261,1.7,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00262,0.8,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00263,92.4,BLOCK,Critical AI risk (92/100). High probability of active compromise.
EVT_00264,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00265,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00266,99.8,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00267,0.6,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00268,10.1,ALLOW,Low AI risk (10/100). Request matches baseline behaviour.
EVT_00269,1.0,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00270,0.9,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00271,2.0,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00272,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00273,1.0,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00274,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00275,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00276,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00277,0.6,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00278,9.5,ALLOW,Low AI risk (10/100). Request matches baseline behaviour.
EVT_00279,73.5,CHALLENGE,Medium AI risk (74/100). Context: behavioural deviation from baseline. Step-up MFA required.
EVT_00280,72.2,CHALLENGE,Medium AI risk (72/100). Context: behavioural deviation from baseline. Step-up MFA required.
EVT_00281,1.4,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00282,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00283,1.7,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00284,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00285,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00286,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00287,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00288,65.9,CHALLENGE,Medium AI risk (66/100). Context: behavioural deviation from baseline. Step-up MFA required.
EVT_00289,0.8,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00290,2.6,ALLOW,Low AI risk (3/100). Request matches baseline behaviour.
EVT_00291,0.8,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00292,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00293,0.6,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00294,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00295,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00296,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00297,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00298,35.5,CHALLENGE,Low AI risk (36/100) overridden by policy: access from public internet requires step-up MFA.
EVT_00299,1.6,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00300,1.2,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00301,1.6,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00302,0.6,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00303,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00304,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00305,0.2,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00306,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00307,0.8,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00308,0.7,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00309,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00310,4.4,ALLOW,Low AI risk (4/100). Request matches baseline behaviour.
EVT_00311,1.8,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00312,5.9,ALLOW,Low AI risk (6/100). Request matches baseline behaviour.
EVT_00313,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00314,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00315,90.9,BLOCK,Critical AI risk (91/100). High probability of active compromise.
EVT_00316,0.7,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00317,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00318,0.6,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00319,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00320,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00321,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00322,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00323,10.1,ALLOW,Low AI risk (10/100). Request matches baseline behaviour.
EVT_00324,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00325,1.3,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00326,1.2,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00327,34.6,ALLOW,Low AI risk (35/100). Request matches baseline behaviour.
EVT_00328,1.8,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00329,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00330,0.8,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00331,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00332,2.8,ALLOW,Low AI risk (3/100). Request matches baseline behaviour.
EVT_00333,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00334,0.8,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00335,0.3,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00336,2.4,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00337,8.4,ALLOW,Low AI risk (8/100). Request matches baseline behaviour.
EVT_00338,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
