event_id,baseline_risk_score,baseline_decision,is_anomaly,anomaly_type
EVT_00134,10.0,ALLOW,0,
EVT_00135,10.0,ALLOW,0,
EVT_00136,10.0,ALLOW,0,
EVT_00137,25.0,ALLOW,0,
EVT_00138,10.0,ALLOW,0,
EVT_00139,45.0,CHALLENGE,0,
EVT_00140,25.0,ALLOW,0,
EVT_00141,30.0,ALLOW,0,
EVT_00142,10.0,ALLOW,0,
EVT_00143,25.0,ALLOW,0,
EVT_00144,10.0,ALLOW,0,
EVT_00145,10.0,ALLOW,0,
EVT_00146,15.0,ALLOW,0,
EVT_00147,10.0,ALLOW,0,
EVT_00148,10.0,ALLOW,0,
EVT_00149,30.0,ALLOW,0,
EVT_00150,30.0,ALLOW,0,
EVT_00151,20.0,ALLOW,0,
EVT_00152,25.0,ALLOW,0,
EVT_00153,35.0,ALLOW,0,
EVT_00154,10.0,ALLOW,0,
EVT_00155,25.0,ALLOW,0,
EVT_00156,10.0,ALLOW,0,
EVT_00157,95.0,BLOCK,1,New_Device_Sensitive
EVT_00158,25.0,ALLOW,0,
EVT_00159,25.0,ALLOW,0,
EVT_00160,30.0,ALLOW,0,
EVT_00161,40.0,ALLOW,0,
EVT_00162,25.0,ALLOW,0,
EVT_00163,10.0,ALLOW,0,
EVT_00164,10.0,ALLOW,0,
EVT_00165,15.0,ALLOW,0,
EVT_00166,25.0,ALLOW,0,
EVT_00167,45.0,CHALLENGE,0,
EVT_00168,30.0,ALLOW,0,
EVT_00169,15.0,ALLOW,0,
EVT_00170,10.0,ALLOW,0,
EVT_00171,45.0,CHALLENGE,1,Impossible_Travel
EVT_00172,10.0,ALLOW,0,
EVT_00173,10.0,ALLOW,0,
EVT_00174,45.0,CHALLENGE,1,Impossible_Travel
EVT_00175,35.0,ALLOW,0,
EVT_00176,25.0,ALLOW,0,
EVT_00177,25.0,ALLOW,0,
EVT_00178,25.0,ALLOW,0,
EVT_00179,10.0,ALLOW,0,
EVT_00180,10.0,ALLOW,0,
EVT_00181,15.0,ALLOW,0,
EVT_00182,40.0,ALLOW,0,
EVT_00183,10.0,ALLOW,0,
EVT_00184,25.0,ALLOW,0,
EVT_00185,10.0,ALLOW,0,
EVT_00186,10.0,ALLOW,0,
EVT_00187,10.0,ALLOW,0,
EVT_00188,10.0,ALLOW,0,
EVT_00189,25.0,ALLOW,0,
EVT_00190,25.0,ALLOW,0,
EVT_00191,10.0,ALLOW,0,
EVT_00192,10.0,ALLOW,0,
EVT_00193,35.0,ALLOW,0,
EVT_00194,25.0,ALLOW,0,
EVT_00195,30.0,ALLOW,0,
EVT_00196,10.0,ALLOW,0,
EVT_00197,25.0,ALLOW,0,
EVT_00198,10.0,ALLOW,0,
EVT_00199,10.0,ALLOW,0,
EVT_00200,10.0,ALLOW,0,
EVT_00201,25.0,ALLOW,0,
EVT_00202,10.0,ALLOW,0,
EVT_00203,25.0,ALLOW,0,
EVT_00204,10.0,ALLOW,0,
EVT_00205,10.0,ALLOW,0,
EVT_00206,10.0,ALLOW,0,
EVT_00207,25.0,ALLOW,0,
EVT_00208,25.0,ALLOW,0,
EVT_00209,10.0,ALLOW,0,
EVT_00210,10.0,ALLOW,0,
EVT_00211,40.0,ALLOW,0,
EVT_00212,10.0,ALLOW,0,
EVT_00213,10.0,ALLOW,0,
EVT_00214,10.0,ALLOW,0,
EVT_00215,10.0,ALLOW,0,
EVT_00216,15.0,ALLOW,0,
EVT_00217,10.0,ALLOW,0,
EVT_00218,10.0,ALLOW,0,
EVT_00219,10.0,ALLOW,0,
EVT_00220,70.0,CHALLENGE,1,New_Device_Sensitive
EVT_00221,25.0,ALLOW,0,
EVT_00222,25.0,ALLOW,0,
EVT_00223,35.0,ALLOW,0,
EVT_00224,25.0,ALLOW,0,
EVT_00225,10.0,ALLOW,0,
EVT_00226,10.0,ALLOW,0,
EVT_00227,10.0,ALLOW,0,
EVT_00228,15.0,ALLOW,0,
EVT_00229,10.0,ALLOW,0,
EVT_00230,40.0,ALLOW,0,
EVT_00231,10.0,ALLOW,0,
EVT_00232,45.0,CHALLENGE,0,
EVT_00233,10.0,ALLOW,0,
EVT_00234,15.0,ALLOW,0,
EVT_00235,25.0,ALLOW,0,
EVT_00236,10.0,ALLOW,0,
EVT_00237,15.0,ALLOW,0,
EVT_00238,25.0,ALLOW,0,
EVT_00239,10.0,ALLOW,0,
EVT_00240,10.0,ALLOW,0,
EVT_00241,10.0,ALLOW,0,
EVT_00242,10.0,ALLOW,0,
EVT_00243,10.0,ALLOW,0,
EVT_00244,25.0,ALLOW,0,
EVT_00245,10.0,ALLOW,0,
EVT_00246,10.0,ALLOW,0,
EVT_00247,10.0,ALLOW,0,
EVT_00248,25.0,ALLOW,0,
EVT_00249,10.0,ALLOW,0,
EVT_00250,30.0,ALLOW,0,
EVT_00251,25.0,ALLOW,0,
EVT_00252,10.0,ALLOW,0,
EVT_00253,10.0,ALLOW,0,
EVT_00254,15.0,ALLOW,0,
EVT_00255,25.0,ALLOW,0,
EVT_00256,10.0,ALLOW,0,
EVT_00257,30.0,ALLOW,0,
EVT_00258,10.0,ALLOW,0,
EVT_00259,10.0,ALLOW,0,
EVT_00260,15.0,ALLOW,0,
EVT_00261,35.0,ALLOW,0,
EVT_00262,10.0,ALLOW,0,
EVT_00263,45.0,CHALLENGE,0,
EVT_00264,10.0,ALLOW,0,
EVT_00265,10.0,ALLOW,0,
EVT_00266,25.0,ALLOW,1,Unusual_Resource_Access
EVT_00267,10.0,ALLOW,0,
EVT_00268,10.0,ALLOW,0,
EVT_00269,20.0,ALLOW,0,
EVT_00270,40.0,ALLOW,0,
EVT_00271,25.0,ALLOW,0,
EVT_00272,10.0,ALLOW,0,
EVT_00273,10.0,ALLOW,0,
EVT_00274,15.0,ALLOW,0,
EVT_00275,10.0,ALLOW,0,
EVT_00276,10.0,ALLOW,0,
EVT_00277,15.0,ALLOW,0,
EVT_00278,25.0,ALLOW,0,
EVT_00279,60.0,CHALLENGE,0,
EVT_00280,45.0,CHALLENGE,0,
EVT_00281,10.0,ALLOW,0,
EVT_00282,10.0,ALLOW,0,
EVT_00283,35.0,ALLOW,0,
EVT_00284,10.0,ALLOW,0,
EVT_00285,10.0,ALLOW,0,
EVT_00286,25.0,ALLOW,0,
EVT_00287,10.0,ALLOW,0,
EVT_00288,60.0,CHALLENGE,0,
EVT_00289,35.0,ALLOW,0,
EVT_00290,25.0,ALLOW,0,
EVT_00291,35.0,ALLOW,0,
EVT_00292,25.0,ALLOW,0,
EVT_00293,10.0,ALLOW,0,
EVT_00294,10.0,ALLOW,0,
EVT_00295,15.0,ALLOW,0,
EVT_00296,10.0,ALLOW,0,
EVT_00297,10.0,ALLOW,0,
EVT_00298,45.0,CHALLENGE,0,
EVT_00299,10.0,ALLOW,0,
EVT_00300,35.0,ALLOW,0,
EVT_00301,10.0,ALLOW,0,
EVT_00302,10.0,ALLOW,0,
EVT_00303,25.0,ALLOW,0,
EVT_00304,10.0,ALLOW,0,
EVT_00305,25.0,ALLOW,0,
EVT_00306,15.0,ALLOW,0,
EVT_00307,25.0,ALLOW,0,
EVT_00308,10.0,ALLOW,0,
EVT_00309,15.0,ALLOW,0,
EVT_00310,25.0,ALLOW,0,
EVT_00311,25.0,ALLOW,0,
EVT_00312,25.0,ALLOW,0,
EVT_00313,25.0,ALLOW,0,
EVT_00314,10.0,ALLOW,0,
EVT_00315,45.0,CHALLENGE,0,
EVT_00316,10.0,ALLOW,0,
EVT_00317,25.0,ALLOW,0,
EVT_00318,10.0,ALLOW,0,
EVT_00319,10.0,ALLOW,0,
EVT_00320,10.0,ALLOW,0,
EVT_00321,10.0,ALLOW,0,
EVT_00322,10.0,ALLOW,0,
EVT_00323,10.0,ALLOW,0,
EVT_00324,10.0,ALLOW,0,
EVT_00325,10.0,ALLOW,0,
EVT_00326,25.0,ALLOW,0,
EVT_00327,10.0,ALLOW,0,
EVT_00328,10.0,ALLOW,0,
EVT_00329,10.0,ALLOW,0,
EVT_00330,25.0,ALLOW,0,
EVT_00331,10.0,ALLOW,0,
EVT_00332,30.0,ALLOW,0,
EVT_00333,10.0,ALLOW,0,
EVT_00334,25.0,ALLOW,0,
EVT_00335,10.0,ALLOW,0,
EVT_00336,10.0,ALLOW,0,
EVT_00337,25.0,ALLOW,0,
EVT_00338,10.0,ALLOW,0,
EVT_00339,25.0,ALLOW,0,
EVT_00340,50.0,CHALLENGE,0,
EVT_00341,25.0,ALLOW,0,
EVT_00342,10.0,ALLOW,0,
EVT_00343,25.0,ALLOW,0,
EVT_00344,10.0,ALLOW,0,
EVT_00345,15.0,ALLOW,0,
EVT_00346,45.0,CHALLENGE,1,Impossible_Travel
EVT_00347,10.0,ALLOW,0,
EVT_00348,25.0,ALLOW,0,
EVT_00349,10.0,ALLOW,0,
EVT_00350,50.0,CHALLENGE,0,
EVT_00351,10.0,ALLOW,0,
EVT_00352,25.0,ALLOW,0,
EVT_00353,45.0,CHALLENGE,0,
EVT_00354,25.0,ALLOW,0,
EVT_00355,10.0,ALLOW,0,
EVT_00356,25.0,ALLOW,0,
EVT_00357,15.0,ALLOW,0,
EVT_00358,10.0,ALLOW,0,
EVT_00359,10.0,ALLOW,0,
EVT_00360,10.0,ALLOW,0,
EVT_00361,10.0,ALLOW,0,
EVT_00362,10.0,ALLOW,0,
EVT_00363,30.0,ALLOW,0,
EVT_00364,25.0,ALLOW,0,
EVT_00365,35.0,ALLOW,0,
EVT_00366,10.0,ALLOW,0,
EVT_00367,25.0,ALLOW,0,
EVT_00368,10.0,ALLOW,0,
EVT_00369,10.0,ALLOW,0,
EVT_00370,10.0,ALLOW,0,
EVT_00371,15.0,ALLOW,0,
EVT_00372,25.0,ALLOW,0,
EVT_00373,15.0,ALLOW,0,
EVT_00374,50.0,CHALLENGE,0,
EVT_00375,10.0,ALLOW,0,
EVT_00376,25.0,ALLOW,0,
EVT_00377,10.0,ALLOW,0,
EVT_00378,10.0,ALLOW,0,
EVT_00379,10.0,ALLOW,0,
EVT_00380,25.0,ALLOW,0,
EVT_00381,10.0,ALLOW,0,
EVT_00382,25.0,ALLOW,0,
EVT_00383,10.0,ALLOW,0,
EVT_00384,25.0,ALLOW,0,
EVT_00385,10.0,ALLOW,0,
EVT_00386,10.0,ALLOW,0,
EVT_00387,10.0,ALLOW,0,
EVT_00388,25.0,ALLOW,0,
EVT_00389,10.0,ALLOW,0,
EVT_00390,15.0,ALLOW,0,
EVT_00391,10.0,ALLOW,0,
EVT_00392,15.0,ALLOW,0,
EVT_00393,25.0,ALLOW,0,
EVT_00394,25.0,ALLOW,1,Unusual_Resource_Access
EVT_00395,10.0,ALLOW,0,
EVT_00396,10.0,ALLOW,0,
EVT_00397,10.0,ALLOW,0,
EVT_00398,25.0,ALLOW,0,
EVT_00399,20.0,ALLOW,0,
EVT_00400,25.0,ALLOW,0,
EVT_00401,10.0,ALLOW,0,
EVT_00402,25.0,ALLOW,0,
EVT_00403,50.0,CHALLENGE,0,
EVT_00404,45.0,CHALLENGE,0,
EVT_00405,10.0,ALLOW,0,
EVT_00406,10.0,ALLOW,0,
EVT_00407,10.0,ALLOW,0,
EVT_00408,85.0,BLOCK,1,New_Device_Sensitive
EVT_00409,10.0,ALLOW,0,
EVT_00410,35.0,ALLOW,0,
EVT_00411,25.0,ALLOW,0,
EVT_00412,15.0,ALLOW,0,
EVT_00413,35.0,ALLOW,0,
EVT_00414,10.0,ALLOW,0,
EVT_00415,10.0,ALLOW,0,
EVT_00416,30.0,ALLOW,0,
EVT_00417,10.0,ALLOW,0,
EVT_00418,25.0,ALLOW,0,
EVT_00419,50.0,CHALLENGE,0,
EVT_00420,10.0,ALLOW,0,
EVT_00421,10.0,ALLOW,0,
EVT_00422,10.0,ALLOW,0,
EVT_00423,15.0,ALLOW,0,
EVT_00424,15.0,ALLOW,0,
EVT_00425,10.0,ALLOW,0,
EVT_00426,10.0,ALLOW,0,
EVT_00427,25.0,ALLOW,0,
EVT_00428,10.0,ALLOW,0,
EVT_00429,25.0,ALLOW,0,
EVT_00430,25.0,ALLOW,0,
EVT_00431,80.0,BLOCK,1,Privilege_Escalation
EVT_00432,80.0,BLOCK,1,Privilege_Escalation
EVT_00433,80.0,BLOCK,1,Privilege_Escalation
EVT_00434,80.0,BLOCK,1,Privilege_Escalation
EVT_00435,80.0,BLOCK,1,Privilege_Escalation
EVT_00436,70.0,CHALLENGE,1,Privilege_Escalation
EVT_00437,10.0,ALLOW,0,
EVT_00438,25.0,ALLOW,0,
EVT_00439,10.0,ALLOW,0,
EVT_00440,25.0,ALLOW,0,
EVT_00441,25.0,ALLOW,0,
EVT_00442,10.0,ALLOW,0,
EVT_00443,25.0,ALLOW,0,
EVT_00444,10.0,ALLOW,0,
EVT_00445,15.0,ALLOW,0,
EVT_00446,10.0,ALLOW,0,
EVT_00447,15.0,ALLOW,0,
EVT_00448,10.0,ALLOW,0,
EVT_00449,25.0,ALLOW,0,
EVT_00450,25.0,ALLOW,0,
EVT_00451,40.0,ALLOW,0,
EVT_00452,10.0,ALLOW,0,
EVT_00453,10.0,ALLOW,0,
EVT_00454,10.0,ALLOW,0,
EVT_00455,45.0,CHALLENGE,0,
EVT_00456,15.0,ALLOW,0,
EVT_00457,10.0,ALLOW,0,
EVT_00458,10.0,ALLOW,0,
EVT_00459,35.0,ALLOW,0,
EVT_00460,15.0,ALLOW,0,
EVT_00461,10.0,ALLOW,0,
EVT_00462,25.0,ALLOW,0,
EVT_00463,15.0,ALLOW,0,
EVT_00464,10.0,ALLOW,0,
EVT_00465,35.0,ALLOW,0,
EVT_00466,10.0,ALLOW,0,
EVT_00467,15.0,ALLOW,0,
EVT_00468,10.0,ALLOW,0,
EVT_00469,40.0,ALLOW,0,
EVT_00470,10.0,ALLOW,0,
EVT_00471,10.0,ALLOW,0,
EVT_00472,25.0,ALLOW,0,
EVT_00473,10.0,ALLOW,0,
EVT_00474,10.0,ALLOW,0,
EVT_00475,10.0,ALLOW,0,
EVT_00476,35.0,ALLOW,0,
EVT_00477,15.0,ALLOW,0,
EVT_00478,25.0,ALLOW,0,
EVT_00479,10.0,ALLOW,0,
EVT_00480,30.0,ALLOW,0,
EVT_00481,30.0,ALLOW,0,
EVT_00482,10.0,ALLOW,0,
EVT_00483,10.0,ALLOW,0,
EVT_00484,10.0,ALLOW,0,
EVT_00485,40.0,ALLOW,0,
EVT_00486,10.0,ALLOW,0,
EVT_00487,10.0,ALLOW,0,
EVT_00488,10.0,ALLOW,0,
EVT_00489,10.0,ALLOW,0,
EVT_00490,10.0,ALLOW,0,
EVT_00491,10.0,ALLOW,0,
EVT_00492,15.0,ALLOW,0,
EVT_00493,10.0,ALLOW,0,
EVT_00494,20.0,ALLOW,0,
EVT_00495,25.0,ALLOW,0,
EVT_00496,25.0,ALLOW,0,
EVT_00497,45.0,CHALLENGE,0,
EVT_00498,25.0,ALLOW,0,
EVT_00499,10.0,ALLOW,0,
EVT_00500,25.0,ALLOW,0,
EVT_00501,10.0,ALLOW,0,
EVT_00502,10.0,ALLOW,0,
EVT_00503,15.0,ALLOW,0,
EVT_00504,25.0,ALLOW,0,
EVT_00505,10.0,ALLOW,0,
EVT_00506,10.0,ALLOW,0,
EVT_00507,30.0,ALLOW,0,
EVT_00508,10.0,ALLOW,0,
EVT_00509,10.0,ALLOW,0,
EVT_00510,10.0,ALLOW,0,
EVT_00511,10.0,ALLOW,0,
EVT_00512,10.0,ALLOW,0,
EVT_00513,10.0,ALLOW,0,
EVT_00514,10.0,ALLOW,0,
EVT_00515,10.0,ALLOW,0,
EVT_00516,10.0,ALLOW,0,
EVT_00517,15.0,ALLOW,0,
EVT_00518,10.0,ALLOW,0,
EVT_00519,10.0,ALLOW,0,
EVT_00520,60.0,CHALLENGE,1,Impossible_Travel
EVT_00521,10.0,ALLOW,0,
EVT_00522,30.0,ALLOW,0,
EVT_00523,10.0,ALLOW,0,
EVT_00524,10.0,ALLOW,0,
EVT_00525,15.0,ALLOW,0,
EVT_00526,25.0,ALLOW,0,
EVT_00527,25.0,ALLOW,0,
EVT_00528,25.0,ALLOW,0,
EVT_00529,25.0,ALLOW,0,
EVT_00530,10.0,ALLOW,0,
EVT_00531,10.0,ALLOW,0,
EVT_00532,25.0,ALLOW,0,
EVT_00533,10.0,ALLOW,0,
EVT_00534,10.0,ALLOW,0,
EVT_00535,10.0,ALLOW,0,
EVT_00536,25.0,ALLOW,0,
EVT_00537,10.0,ALLOW,0,
EVT_00538,15.0,ALLOW,0,
EVT_00539,10.0,ALLOW,0,
EVT_00540,10.0,ALLOW,0,
EVT_00541,45.0,CHALLENGE,0,
EVT_00542,30.0,ALLOW,0,
EVT_00543,10.0,ALLOW,0,
EVT_00544,25.0,ALLOW,0,
EVT_00545,10.0,ALLOW,0,
EVT_00546,25.0,ALLOW,0,
EVT_00547,10.0,ALLOW,0,
EVT_00548,10.0,ALLOW,0,
EVT_00549,10.0,ALLOW,0,
EVT_00550,10.0,ALLOW,0,
EVT_00551,10.0,ALLOW,0,
EVT_00552,30.0,ALLOW,0,
EVT_00553,25.0,ALLOW,0,
EVT_00554,25.0,ALLOW,0,
EVT_00555,25.0,ALLOW,0,
EVT_00556,15.0,ALLOW,0,
EVT_00557,10.0,ALLOW,0,
EVT_00558,10.0,ALLOW,0,
EVT_00559,10.0,ALLOW,0,
EVT_00560,10.0,ALLOW,0,
EVT_00561,10.0,ALLOW,0,
EVT_00562,10.0,ALLOW,0,
EVT_00563,25.0,ALLOW,0,
EVT_00564,10.0,ALLOW,0,
EVT_00565,25.0,ALLOW,0,
EVT_00566,25.0,ALLOW,0,
EVT_00567,25.0,ALLOW,0,
EVT_00568,40.0,ALLOW,0,
EVT_00569,10.0,ALLOW,0,
EVT_00570,35.0,ALLOW,0,
EVT_00571,25.0,ALLOW,0,
EVT_00572,10.0,ALLOW,0,
EVT_00573,15.0,ALLOW,0,
EVT_00574,10.0,ALLOW,0,
EVT_00575,10.0,ALLOW,0,
EVT_00576,15.0,ALLOW,0,
EVT_00577,50.0,CHALLENGE,0,
EVT_00578,10.0,ALLOW,0,
EVT_00579,25.0,ALLOW,0,
EVT_00580,10.0,ALLOW,0,
EVT_00581,10.0,ALLOW,0,
EVT_00582,10.0,ALLOW,0,
EVT_00583,10.0,ALLOW,0,
EVT_00584,25.0,ALLOW,0,
EVT_00585,25.0,ALLOW,0,
EVT_00586,20.0,ALLOW,0,
EVT_00587,40.0,ALLOW,0,
EVT_00588,15.0,ALLOW,0,
EVT_00589,25.0,ALLOW,0,
EVT_00590,15.0,ALLOW,0,
EVT_00591,10.0,ALLOW,0,
EVT_00592,25.0,ALLOW,0,
EVT_00593,10.0,ALLOW,0,
EVT_00594,25.0,ALLOW,0,
EVT_00595,10.0,ALLOW,0,
EVT_00596,25.0,ALLOW,0,
EVT_00597,15.0,ALLOW,0,
EVT_00598,40.0,ALLOW,0,
EVT_00599,25.0,ALLOW,0,
EVT_00600,30.0,ALLOW,0,
EVT_00601,10.0,ALLOW,0,
EVT_00602,10.0,ALLOW,0,
EVT_00603,15.0,ALLOW,0,
EVT_00604,25.0,ALLOW,0,
EVT_00605,10.0,ALLOW,0,
EVT_00606,10.0,ALLOW,0,
EVT_00607,25.0,ALLOW,0,
EVT_00608,10.0,ALLOW,0,
EVT_00609,10.0,ALLOW,0,
EVT_00610,35.0,ALLOW,0,
EVT_00611,55.0,CHALLENGE,0,
EVT_00612,10.0,ALLOW,0,
EVT_00613,10.0,ALLOW,0,
EVT_00614,10.0,ALLOW,0,
EVT_00615,25.0,ALLOW,0,
EVT_00616,10.0,ALLOW,0,
EVT_00617,25.0,ALLOW,0,
EVT_00618,10.0,ALLOW,0,
EVT_00619,10.0,ALLOW,0,
EVT_00620,25.0,ALLOW,0,
EVT_00621,10.0,ALLOW,0,
EVT_00622,25.0,ALLOW,0,
EVT_00623,10.0,ALLOW,0,
EVT_00624,10.0,ALLOW,0,
EVT_00625,10.0,ALLOW,0,
EVT_00626,10.0,ALLOW,0,
EVT_00627,25.0,ALLOW,0,
EVT_00628,10.0,ALLOW,0,
EVT_00629,25.0,ALLOW,0,
EVT_00630,20.0,ALLOW,0,
EVT_00631,25.0,ALLOW,1,Unusual_Resource_Access
EVT_00632,25.0,ALLOW,0,
EVT_00633,25.0,ALLOW,0,
EVT_00634,10.0,ALLOW,0,
EVT_00635,10.0,ALLOW,0,
EVT_00636,25.0,ALLOW,0,
EVT_00637,10.0,ALLOW,0,
EVT_00638,25.0,ALLOW,1,Unusual_Resource_Access
EVT_00639,10.0,ALLOW,0,
EVT_00640,10.0,ALLOW,0,
EVT_00641,40.0,ALLOW,0,
EVT_00642,25.0,ALLOW,0,
EVT_00643,50.0,CHALLENGE,0,
EVT_00644,25.0,ALLOW,0,
EVT_00645,30.0,ALLOW,0,
EVT_00646,10.0,ALLOW,0,
EVT_00647,60.0,CHALLENGE,0,
EVT_00648,15.0,ALLOW,0,
EVT_00649,15.0,ALLOW,0,
EVT_00650,10.0,ALLOW,0,
EVT_00651,10.0,ALLOW,0,
EVT_00652,10.0,ALLOW,0,
EVT_00653,10.0,ALLOW,0,
EVT_00654,25.0,ALLOW,0,
EVT_00655,10.0,ALLOW,0,
EVT_00656,15.0,ALLOW,0,
EVT_00657,10.0,ALLOW,0,
EVT_00658,10.0,ALLOW,0,
EVT_00659,10.0,ALLOW,0,
EVT_00660,10.0,ALLOW,0,
EVT_00661,10.0,ALLOW,0,
EVT_00662,25.0,ALLOW,0,
EVT_00663,10.0,ALLOW,0,
EVT_00664,10.0,ALLOW,0,
EVT_00665,10.0,ALLOW,0,
EVT_00666,10.0,ALLOW,0,
